Web Search interest: heroes of the storm
Worldwide May-Jun 2015

Interest over time
Day,heroes of the storm
2015-05-01,37
2015-05-02,37
2015-05-03,38
2015-05-04,32
2015-05-05,30
2015-05-06,29
2015-05-07,31
2015-05-08,34
2015-05-09,40
2015-05-10,38
2015-05-11,34
2015-05-12,39
2015-05-13,42
2015-05-14,42
2015-05-15,49
2015-05-16,47
2015-05-17,47
2015-05-18,39
2015-05-19,45
2015-05-20,48
2015-05-21,41
2015-05-22,46
2015-05-23,55
2015-05-24,56
2015-05-25,51
2015-05-26,49
2015-05-27,46
2015-05-28,44
2015-05-29,43
2015-05-30,51
2015-05-31,56
2015-06-01,77
2015-06-02,100
2015-06-03,93
2015-06-04,88
2015-06-05,76
2015-06-06,94
2015-06-07,100
2015-06-08,74
2015-06-09,76
2015-06-10,70
2015-06-11,64
2015-06-12,61
2015-06-13,70
2015-06-14,72
2015-06-15,53
2015-06-16,50
2015-06-17,56
2015-06-18,57
2015-06-19,53
2015-06-20,58
2015-06-21,61
2015-06-22,49
2015-06-23,48
2015-06-24,43
2015-06-25,42
2015-06-26,40
2015-06-27,42
2015-06-28,44
2015-06-29,42
2015-06-30,47


Top regions for heroes of the storm
Region,heroes of the storm
Czech Republic,100
Sweden,96
Hungary,80
Denmark,79
Canada,63
Chile,59
Germany,57
Romania,54
France,52
Poland,52
Russia,50
United States,48
Spain,41
Australia,40
Netherlands,39
Argentina,27
Brazil,26
United Kingdom,24
Italy,22
Turkey,17
Mexico,14


Top cities for heroes of the storm
Town/City,heroes of the storm
Singapore (Singapore),100
Stockholm (Sweden),93
Budapest (Hungary),92
Toronto (Canada),80
Santiago (Chile),78
Vienna (Austria),76
Berlin (Germany),76
Moscow (Russia),71
Los Angeles (United States),64
Sydney (Australia),59
Warsaw (Poland),59
Melbourne (Australia),58
Paris (France),53
Madrid (Spain),51
New York (United States),47



Top searches for heroes of the storm
hots,100
hearthstone,75
blizzard,50
heros,35
johanna,30
illidan,25
valla,25
sylvanas,25
battlenet,20
starcraft,20
jaina,20
moba,15
tyrael,15
kerrigan,15
hero league,15
zeratul,15
valla build,10
battle net,10
muradin,10
abathur,10
arthas,10
overwatch,10
heroes nexus,10
hearthstone mount,10
lost vikings,10
the lost vikings,10
battle.net,10
diablo build,10
tyrande,10
zagara,10
illidan build,10
starcraft 2,10
brightwing,10
heroes fire,10
azmodan,10
jaina build,10
rehgar,10
leoric,10
raynor build,10



Rising searches for heroes of the storm
hearthstone mount,Breakout
johanna,Breakout
leoric,Breakout
hearthstone,+90%
hero league,+80%
brightwing,+70%
jaina build,+70%
etc build,+60%
muradin,+40%



