Web Search interest: heroes of the storm
Worldwide Sep-Oct 2014

Interest over time
Day,heroes of the storm
2014-09-01,44
2014-09-02,42
2014-09-03,40
2014-09-04,49
2014-09-05,40
2014-09-06,51
2014-09-07,53
2014-09-08,45
2014-09-09,39
2014-09-10,42
2014-09-11,42
2014-09-12,47
2014-09-13,50
2014-09-14,55
2014-09-15,43
2014-09-16,37
2014-09-17,34
2014-09-18,29
2014-09-19,30
2014-09-20,44
2014-09-21,42
2014-09-22,34
2014-09-23,47
2014-09-24,43
2014-09-25,38
2014-09-26,35
2014-09-27,36
2014-09-28,37
2014-09-29,37
2014-09-30,32
2014-10-01,33
2014-10-02,28
2014-10-03,37
2014-10-04,41
2014-10-05,38
2014-10-06,35
2014-10-07,46
2014-10-08,64
2014-10-09,62
2014-10-10,67
2014-10-11,64
2014-10-12,62
2014-10-13,53
2014-10-14,52
2014-10-15,71
2014-10-16,74
2014-10-17,77
2014-10-18,90
2014-10-19,85
2014-10-20,60
2014-10-21,65
2014-10-22,77
2014-10-23,89
2014-10-24,88
2014-10-25,96
2014-10-26,99
2014-10-27,78
2014-10-28,69
2014-10-29,91
2014-10-30,100
2014-10-31,87


Top regions for heroes of the storm
Region,heroes of the storm
Russia,100
Germany,84
France,83
United States,35


Top cities for heroes of the storm
Town/City,heroes of the storm
Moscow (Russia),100
Paris (France),51



Top searches for heroes of the storm
blizzard,100
hots,85
moba,45
battle net,30



Rising searches for heroes of the storm
battle net,+40%



