Web Search interest: heroes of the storm
Worldwide Mar-Apr 2015

Interest over time
Day,heroes of the storm
2015-03-01,53
2015-03-02,41
2015-03-03,41
2015-03-04,38
2015-03-05,40
2015-03-06,53
2015-03-07,66
2015-03-08,64
2015-03-09,52
2015-03-10,52
2015-03-11,42
2015-03-12,42
2015-03-13,43
2015-03-14,57
2015-03-15,60
2015-03-16,53
2015-03-17,50
2015-03-18,42
2015-03-19,42
2015-03-20,46
2015-03-21,67
2015-03-22,69
2015-03-23,64
2015-03-24,87
2015-03-25,98
2015-03-26,77
2015-03-27,69
2015-03-28,97
2015-03-29,100
2015-03-30,89
2015-03-31,77
2015-04-01,72
2015-04-02,68
2015-04-03,80
2015-04-04,86
2015-04-05,81
2015-04-06,75
2015-04-07,79
2015-04-08,85
2015-04-09,85
2015-04-10,85
2015-04-11,81
2015-04-12,84
2015-04-13,65
2015-04-14,59
2015-04-15,47
2015-04-16,47
2015-04-17,52
2015-04-18,63
2015-04-19,58
2015-04-20,57
2015-04-21,60
2015-04-22,49
2015-04-23,50
2015-04-24,51
2015-04-25,66
2015-04-26,67
2015-04-27,69
2015-04-28,57
2015-04-29,51
2015-04-30,48


Top regions for heroes of the storm
Region,heroes of the storm
Hungary,100
Sweden,92
Chile,91
Poland,71
Romania,70
Russia,56
Germany,56
France,55
Canada,50
Spain,48
Ukraine,41
Netherlands,37
Argentina,32
Australia,27
United States,27
Brazil,25
United Kingdom,22
Italy,21
Turkey,13


Top cities for heroes of the storm
City,heroes of the storm
Budapest (Hungary),100
Santiago (Chile),93
Saint Petersburg (Russia),83
Stockholm (Sweden),79
Bucharest (Romania),72
Moscow (Russia),69
Berlin (Germany),68
Vienna (Austria),66
Warsaw (Poland),59
Toronto (Canada),51
Madrid (Spain),50
Paris (France),50
Kiev (Ukraine),41
Buenos Aires (Argentina),38
Melbourne (Australia),32



Top searches for heroes of the storm
hots,100
blizzard,50
sylvanas,45
heros,30
battlenet,25
heroes online,20
valla,20
illidan,20
battle net,20
starcraft,15
overwatch,15
battle.net,15
moba,15
tyrael,15
zeratul,15
jaina,15
raynor,10
kerrigan,10
lost vikings,10
the lost vikings,10
valla build,10
tyrande,10
starcraft 2,10
abathur,10
tychus,10
nova build,10
diablo build,10
tassadar,10
rehgar,10
heroes fire,5
heroes nexus,5
raynor build,5
zagara,5



Rising searches for heroes of the storm
sylvanas,+250%
nova build,+100%
diablo build,+50%
zeratul,+40%



