Web Search interest: heroes of the storm
Worldwide Nov-Dec 2014

Interest over time
Day,heroes of the storm
2014-11-01,50
2014-11-02,50
2014-11-03,36
2014-11-04,38
2014-11-05,47
2014-11-06,43
2014-11-07,55
2014-11-08,100
2014-11-09,86
2014-11-10,60
2014-11-11,53
2014-11-12,40
2014-11-13,38
2014-11-14,39
2014-11-15,44
2014-11-16,39
2014-11-17,30
2014-11-18,29
2014-11-19,29
2014-11-20,22
2014-11-21,24
2014-11-22,27
2014-11-23,27
2014-11-24,21
2014-11-25,24
2014-11-26,27
2014-11-27,27
2014-11-28,24
2014-11-29,30
2014-11-30,29
2014-12-01,24
2014-12-02,33
2014-12-03,38
2014-12-04,34
2014-12-05,36
2014-12-06,42
2014-12-07,40
2014-12-08,32
2014-12-09,30
2014-12-10,29
2014-12-11,23
2014-12-12,26
2014-12-13,28
2014-12-14,32
2014-12-15,23
2014-12-16,25
2014-12-17,26
2014-12-18,35
2014-12-19,35
2014-12-20,39
2014-12-21,39
2014-12-22,34
2014-12-23,42
2014-12-24,40
2014-12-25,42
2014-12-26,38
2014-12-27,37
2014-12-28,37
2014-12-29,37
2014-12-30,36
2014-12-31,32


Top regions for heroes of the storm
Region,heroes of the storm
Russia,100
Canada,89
Germany,80
Poland,78
France,74
Spain,60
United States,41
Brazil,38
United Kingdom,30


Top cities for heroes of the storm
City,heroes of the storm
Moscow (Russia),100
Toronto (Canada),73
Paris (France),47



Top searches for heroes of the storm
blizzard,100
hots,85
overwatch,65
blizzcon,35
heroes online,35
moba,30
battle net,20



Rising searches for heroes of the storm
overwatch,Breakout
blizzcon,+200%



