Web Search interest: heroes of the storm
Worldwide Sep-Oct 2014

Interest over time
Day,heroes of the storm
2014-09-01,43
2014-09-02,40
2014-09-03,37
2014-09-04,45
2014-09-05,39
2014-09-06,47
2014-09-07,52
2014-09-08,40
2014-09-09,35
2014-09-10,44
2014-09-11,43
2014-09-12,47
2014-09-13,50
2014-09-14,54
2014-09-15,43
2014-09-16,34
2014-09-17,33
2014-09-18,28
2014-09-19,30
2014-09-20,39
2014-09-21,37
2014-09-22,34
2014-09-23,43
2014-09-24,41
2014-09-25,38
2014-09-26,30
2014-09-27,34
2014-09-28,34
2014-09-29,33
2014-09-30,28
2014-10-01,29
2014-10-02,27
2014-10-03,35
2014-10-04,41
2014-10-05,38
2014-10-06,32
2014-10-07,44
2014-10-08,57
2014-10-09,62
2014-10-10,66
2014-10-11,63
2014-10-12,61
2014-10-13,52
2014-10-14,50
2014-10-15,68
2014-10-16,76
2014-10-17,73
2014-10-18,86
2014-10-19,86
2014-10-20,59
2014-10-21,63
2014-10-22,76
2014-10-23,91
2014-10-24,84
2014-10-25,89
2014-10-26,93
2014-10-27,70
2014-10-28,66
2014-10-29,92
2014-10-30,100
2014-10-31,78


Top regions for heroes of the storm
Region,heroes of the storm
Russia,100
France,78
Germany,77
United States,33


Top cities for heroes of the storm
City,heroes of the storm
Moscow (Russia),100
Sydney (Australia),56
Paris (France),52



Top searches for heroes of the storm
blizzard,100
hots,80
moba,50
heroes online,45






