Web Search interest: heroes of the storm
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of the storm
2014-03-01,12
2014-03-02,12
2014-03-03,10
2014-03-04,12
2014-03-05,13
2014-03-06,11
2014-03-07,13
2014-03-08,14
2014-03-09,13
2014-03-10,10
2014-03-11,8
2014-03-12,15
2014-03-13,21
2014-03-14,100
2014-03-15,67
2014-03-16,65
2014-03-17,47
2014-03-18,38
2014-03-19,39
2014-03-20,31
2014-03-21,30
2014-03-22,30
2014-03-23,33
2014-03-24,26
2014-03-25,18
2014-03-26,23
2014-03-27,17
2014-03-28,19
2014-03-29,19
2014-03-30,20
2014-03-31,14
2014-04-01,15
2014-04-02,16
2014-04-03,13
2014-04-04,13
2014-04-05,12
2014-04-06,15
2014-04-07,10
2014-04-08,12
2014-04-09,11
2014-04-10,14
2014-04-11,16
2014-04-12,20
2014-04-13,21
2014-04-14,15
2014-04-15,16
2014-04-16,16
2014-04-17,18
2014-04-18,30
2014-04-19,20
2014-04-20,19
2014-04-21,16
2014-04-22,16
2014-04-23,16
2014-04-24,12
2014-04-25,12
2014-04-26,16
2014-04-27,15
2014-04-28,13
2014-04-29,11
2014-04-30,13


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,78
United States,67
France,64
United Kingdom,41
Brazil,39


Top cities for heroes of the storm
City,heroes of the storm
Santiago (Chile),100



Top searches for heroes of the storm
blizzard,100
moba,40
heroes of warcraft,35
hots,30
heroes of newerth,20



Rising searches for heroes of the storm
hots,+50%



