Web Search interest: heroes of the storm
Worldwide Jan-Feb 2015

Interest over time
Day,heroes of the storm
2015-01-01,24
2015-01-02,27
2015-01-03,30
2015-01-04,29
2015-01-05,24
2015-01-06,29
2015-01-07,24
2015-01-08,21
2015-01-09,27
2015-01-10,29
2015-01-11,32
2015-01-12,39
2015-01-13,73
2015-01-14,71
2015-01-15,52
2015-01-16,43
2015-01-17,47
2015-01-18,45
2015-01-19,33
2015-01-20,54
2015-01-21,100
2015-01-22,80
2015-01-23,73
2015-01-24,88
2015-01-25,76
2015-01-26,62
2015-01-27,59
2015-01-28,56
2015-01-29,55
2015-01-30,60
2015-01-31,67
2015-02-01,68
2015-02-02,56
2015-02-03,53
2015-02-04,46
2015-02-05,46
2015-02-06,53
2015-02-07,65
2015-02-08,57
2015-02-09,51
2015-02-10,55
2015-02-11,62
2015-02-12,50
2015-02-13,49
2015-02-14,67
2015-02-15,63
2015-02-16,54
2015-02-17,50
2015-02-18,45
2015-02-19,44
2015-02-20,51
2015-02-21,60
2015-02-22,60
2015-02-23,52
2015-02-24,50
2015-02-25,42
2015-02-26,41
2015-02-27,40
2015-02-28,51


Top regions for heroes of the storm
Region,heroes of the storm
Sweden,100
Germany,66
France,62
Canada,59
Poland,56
Russia,53
Spain,53
Netherlands,39
Australia,33
United States,28
United Kingdom,23
Italy,23
Brazil,21


Top cities for heroes of the storm
Town/City,heroes of the storm
Stockholm (Sweden),100
Santiago (Chile),96
Berlin (Germany),92
Moscow (Russia),85
Vienna (Austria),84
Paris (France),68
Toronto (Canada),68
Bucharest (Romania),62
Warsaw (Poland),59
Madrid (Spain),55
Melbourne (Australia),43
Buenos Aires (Argentina),41
Sydney (Australia),40
New York (United States),28
Istanbul (Turkey),25



Top searches for heroes of the storm
hots,100
blizzard,65
heros,40
heroes online,30
battlenet,30
overwatch,30
thrall,25
lost vikings,25
the lost vikings,20
valla,20
battle net,20
moba,20
arthas,15
zeratul,15
battle.net,15
tyrande,10
kerrigan,10
heroes nexus,10
abathur,10
valla build,10
starcraft 2,10
azmodan,10
tychus,10
diablo build,5



Rising searches for heroes of the storm
lost vikings,+160%
the lost vikings,+150%
thrall,+110%
tyrande,+50%
heroes nexus,+40%



