Web Search interest: heroes of the storm
Worldwide Jul-Aug 2014

Interest over time
Day,heroes of the storm
2014-07-01,63
2014-07-02,100
2014-07-03,90
2014-07-04,77
2014-07-05,85
2014-07-06,86
2014-07-07,58
2014-07-08,53
2014-07-09,55
2014-07-10,72
2014-07-11,78
2014-07-12,75
2014-07-13,65
2014-07-14,60
2014-07-15,58
2014-07-16,64
2014-07-17,86
2014-07-18,69
2014-07-19,74
2014-07-20,76
2014-07-21,69
2014-07-22,83
2014-07-23,80
2014-07-24,80
2014-07-25,87
2014-07-26,87
2014-07-27,84
2014-07-28,65
2014-07-29,70
2014-07-30,57
2014-07-31,56
2014-08-01,58
2014-08-02,70
2014-08-03,64
2014-08-04,59
2014-08-05,52
2014-08-06,50
2014-08-07,64
2014-08-08,48
2014-08-09,59
2014-08-10,71
2014-08-11,53
2014-08-12,44
2014-08-13,63
2014-08-14,76
2014-08-15,82
2014-08-16,80
2014-08-17,89
2014-08-18,64
2014-08-19,66
2014-08-20,57
2014-08-21,55
2014-08-22,66
2014-08-23,71
2014-08-24,89
2014-08-25,64
2014-08-26,61
2014-08-27,61
2014-08-28,51
2014-08-29,55
2014-08-30,65
2014-08-31,69


Top regions for heroes of the storm
Region,heroes of the storm
Russia,100
Spain,94
France,70
Germany,60
United States,42
Brazil,33


Top cities for heroes of the storm
Town/City,heroes of the storm
Singapore (Singapore),100
Brisbane (Australia),70
Melbourne (Australia),53
Sydney (Australia),46
Santiago (Chile),44



Top searches for heroes of the storm
blizzard,100
hots,60
heroes online,55
moba,50



Rising searches for heroes of the storm
hots,+40%



