Web Search interest: heroes of the storm
Worldwide May-Jun 2015

Interest over time
Day,heroes of the storm
2015-05-01,38
2015-05-02,38
2015-05-03,37
2015-05-04,32
2015-05-05,29
2015-05-06,28
2015-05-07,28
2015-05-08,33
2015-05-09,38
2015-05-10,38
2015-05-11,34
2015-05-12,40
2015-05-13,42
2015-05-14,43
2015-05-15,48
2015-05-16,46
2015-05-17,45
2015-05-18,39
2015-05-19,44
2015-05-20,47
2015-05-21,43
2015-05-22,44
2015-05-23,53
2015-05-24,57
2015-05-25,50
2015-05-26,48
2015-05-27,44
2015-05-28,43
2015-05-29,44
2015-05-30,49
2015-05-31,56
2015-06-01,76
2015-06-02,99
2015-06-03,93
2015-06-04,87
2015-06-05,78
2015-06-06,93
2015-06-07,100
2015-06-08,76
2015-06-09,76
2015-06-10,69
2015-06-11,60
2015-06-12,58
2015-06-13,71
2015-06-14,72
2015-06-15,49
2015-06-16,52
2015-06-17,58
2015-06-18,58
2015-06-19,54
2015-06-20,58
2015-06-21,60
2015-06-22,48
2015-06-23,47
2015-06-24,43
2015-06-25,42
2015-06-26,41
2015-06-27,45
2015-06-28,44
2015-06-29,42
2015-06-30,49


Top regions for heroes of the storm
Region,heroes of the storm
Sweden,100
Denmark,95
Hungary,87
Chile,71
Canada,71
Germany,65
Romania,60
Poland,59
France,58
Russia,56
United States,55
Spain,50
Australia,46
Netherlands,44
Ukraine,43
Argentina,31
Brazil,29
United Kingdom,27
Italy,26
Turkey,19
Mexico,17


Top cities for heroes of the storm
City,heroes of the storm
Budapest (Hungary),100
Singapore (Singapore),92
Stockholm (Sweden),88
Toronto (Canada),76
Berlin (Germany),71
Santiago (Chile),70
Moscow (Russia),68
Vienna (Austria),66
Los Angeles (United States),65
Warsaw (Poland),56
Melbourne (Australia),54
Sydney (Australia),52
Paris (France),50
Madrid (Spain),45
New York (United States),45



Top searches for heroes of the storm
hots,100
hearthstone,70
blizzard,45
heros,35
heroes online,25
sylvanas,25
johanna,25
valla,25
illidan,25
battlenet,20
starcraft,20
moba,15
tyrael,15
kerrigan,15
zeratul,10
valla build,10
abathur,10
battle net,10
overwatch,10
hero league,10
battle.net,10
heroes nexus,10
diablo build,10
hearthstone mount,10
tyrande,10
heroes 7,10
arthas,10
the lost vikings,10
lost vikings,10
illidan build,10
zagara,10
brightwing,10
starcraft 2,10
rehgar,10
heroes fire,10
azmodan,10
sylvanas build,5
raynor build,5
nova build,5



Rising searches for heroes of the storm
hearthstone mount,Breakout
johanna,Breakout
leoric,Breakout
hearthstone,+100%
heroes nexus,+70%
brightwing,+60%
etc build,+40%
hero league,+40%
sylvanas build,+40%



