Web Search interest: heroes of the storm
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of the storm
2015-09-01,86
2015-09-02,79
2015-09-03,76
2015-09-04,82
2015-09-05,99
2015-09-06,100
2015-09-07,90
2015-09-08,99
2015-09-09,94
2015-09-10,75
2015-09-11,80
2015-09-12,92
2015-09-13,90
2015-09-14,82
2015-09-15,68
2015-09-16,75
2015-09-17,68
2015-09-18,66
2015-09-19,87
2015-09-20,94
2015-09-21,84
2015-09-22,87
2015-09-23,72
2015-09-24,75
2015-09-25,80
2015-09-26,96
2015-09-27,92
2015-09-28,84
2015-09-29,85
2015-09-30,72
2015-10-01,66
2015-10-02,76
2015-10-03,87
2015-10-04,86
2015-10-05,72
2015-10-06,79
2015-10-07,87
2015-10-08,69
2015-10-09,64
2015-10-10,77
2015-10-11,76
2015-10-12,71
2015-10-13,60
2015-10-14,65
2015-10-15,64
2015-10-16,57
2015-10-17,71
2015-10-18,68
2015-10-19,64
2015-10-20,73
2015-10-21,70
2015-10-22,58
2015-10-23,65
2015-10-24,65
2015-10-25,72
2015-10-26,60
2015-10-27,69
2015-10-28,75
2015-10-29,74
2015-10-30,65
2015-10-31,66


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,76
Poland,68
France,65
Spain,64
Russia,64
United States,63
United Kingdom,38
Brazil,36


Top cities for heroes of the storm
City,heroes of the storm
Toronto (Canada),100
Singapore (Singapore),92
Moscow (Russia),84
Berlin (Germany),78
Santiago (Chile),77
Los Angeles (United States),69
Melbourne (Australia),63
Paris (France),54
Madrid (Spain),50
New York (United States),44
Buenos Aires (Argentina),42
Istanbul (Turkey),35
Bangkok (Thailand),30
London (United Kingdom),28



Top searches for heroes of the storm
hots,100
artanis,65
rexxar,35
blizzard,35
battlenet,20
blizzcon,15
zeratul,15
moba,15
heroes 7,15
hotslogs,10
battle net,10
battle.net,10



Rising searches for heroes of the storm
artanis,+650%
blizzcon,+300%
rexxar,+250%
hotslogs,+60%



