Web Search interest: lpl
Worldwide Mar-Apr 2015

Interest over time
Day,lpl
2015-03-01,37
2015-03-02,31
2015-03-03,37
2015-03-04,31
2015-03-05,28
2015-03-06,41
2015-03-07,39
2015-03-08,38
2015-03-09,34
2015-03-10,33
2015-03-11,31
2015-03-12,31
2015-03-13,54
2015-03-14,47
2015-03-15,55
2015-03-16,34
2015-03-17,33
2015-03-18,37
2015-03-19,29
2015-03-20,49
2015-03-21,46
2015-03-22,47
2015-03-23,34
2015-03-24,34
2015-03-25,26
2015-03-26,32
2015-03-27,31
2015-03-28,28
2015-03-29,29
2015-03-30,29
2015-03-31,43
2015-04-01,33
2015-04-02,36
2015-04-03,51
2015-04-04,44
2015-04-05,50
2015-04-06,42
2015-04-07,49
2015-04-08,74
2015-04-09,62
2015-04-10,68
2015-04-11,82
2015-04-12,74
2015-04-13,56
2015-04-14,83
2015-04-15,68
2015-04-16,68
2015-04-17,67
2015-04-18,63
2015-04-19,72
2015-04-20,53
2015-04-21,49
2015-04-22,47
2015-04-23,46
2015-04-24,41
2015-04-25,58
2015-04-26,100
2015-04-27,49
2015-04-28,41
2015-04-29,45
2015-04-30,42


Top regions for lpl
Region,lpl
India,100
United States,57


Top cities for lpl
City,lpl
Pune (India),100
Unnao (India),95
Mumbai (India),71
Sucre (Bolivia),69



Top searches for lpl
2015 lpl,100
lpl financial,95
lol lpl,50
lpl live,40
lpl login,25
lpl score,25
lpl live score,20
lpl financial login,15
lpl match,15
lpl league,15
lpl spring,10



Rising searches for lpl
lpl live score,Breakout
lpl match,Breakout
lpl score,Breakout
lpl live,+600%
2015 lpl,+110%



