Web Search interest: lpl
Worldwide May-Jun 2015

Interest over time
Day,lpl
2015-05-01,60
2015-05-02,52
2015-05-03,44
2015-05-04,52
2015-05-05,56
2015-05-06,64
2015-05-07,64
2015-05-08,64
2015-05-09,65
2015-05-10,65
2015-05-11,63
2015-05-12,53
2015-05-13,49
2015-05-14,53
2015-05-15,58
2015-05-16,61
2015-05-17,53
2015-05-18,45
2015-05-19,60
2015-05-20,58
2015-05-21,47
2015-05-22,83
2015-05-23,61
2015-05-24,100
2015-05-25,41
2015-05-26,42
2015-05-27,38
2015-05-28,36
2015-05-29,49
2015-05-30,49
2015-05-31,44
2015-06-01,37
2015-06-02,39
2015-06-03,40
2015-06-04,38
2015-06-05,48
2015-06-06,41
2015-06-07,49
2015-06-08,37
2015-06-09,37
2015-06-10,39
2015-06-11,38
2015-06-12,54
2015-06-13,54
2015-06-14,47
2015-06-15,39
2015-06-16,35
2015-06-17,41
2015-06-18,38
2015-06-19,48
2015-06-20,49
2015-06-21,58
2015-06-22,36
2015-06-23,37
2015-06-24,33
2015-06-25,37
2015-06-26,49
2015-06-27,45
2015-06-28,53
2015-06-29,35
2015-06-30,34


Top regions for lpl
Region,lpl
India,100
United States,69


Top cities for lpl
City,lpl
Mumbai (India),100
New York (United States),73



Top searches for lpl
lpl financial,100
lpl 2015,85
lol lpl,40
lpl live,35
lpl score,30
lpl login,20
live score lpl,20
lpl summer,15
lpl account view,10



Rising searches for lpl
lpl account view,+60%



