Web Search interest: lpl
Worldwide May-Jun 2015

Interest over time
Day,lpl
2015-05-01,59
2015-05-02,55
2015-05-03,43
2015-05-04,57
2015-05-05,53
2015-05-06,56
2015-05-07,58
2015-05-08,63
2015-05-09,52
2015-05-10,65
2015-05-11,63
2015-05-12,47
2015-05-13,53
2015-05-14,49
2015-05-15,54
2015-05-16,58
2015-05-17,52
2015-05-18,41
2015-05-19,63
2015-05-20,58
2015-05-21,38
2015-05-22,72
2015-05-23,55
2015-05-24,100
2015-05-25,38
2015-05-26,37
2015-05-27,36
2015-05-28,39
2015-05-29,47
2015-05-30,51
2015-05-31,40
2015-06-01,42
2015-06-02,39
2015-06-03,33
2015-06-04,37
2015-06-05,49
2015-06-06,47
2015-06-07,48
2015-06-08,41
2015-06-09,37
2015-06-10,34
2015-06-11,41
2015-06-12,53
2015-06-13,51
2015-06-14,50
2015-06-15,39
2015-06-16,36
2015-06-17,31
2015-06-18,39
2015-06-19,52
2015-06-20,56
2015-06-21,52
2015-06-22,39
2015-06-23,38
2015-06-24,36
2015-06-25,32
2015-06-26,40
2015-06-27,48
2015-06-28,46
2015-06-29,32
2015-06-30,32


Top regions for lpl
Region,lpl
India,100
United States,66


Top cities for lpl
Town/City,lpl
New York (United States),100



Top searches for lpl
lpl financial,100
lpl 2015,85
lpl lol,40
lpl live,35
lpl score,30
lpl live score,20
lpl login,20
lpl account,20
lpl account view,15
lpl summer,15



Rising searches for lpl
lpl summer,Breakout
lpl account view,+110%
lpl account,+40%



