Web Search interest: lpl
Worldwide May-Jun 2014

Interest over time
Day,lpl
2014-05-01,48
2014-05-02,52
2014-05-03,69
2014-05-04,42
2014-05-05,63
2014-05-06,58
2014-05-07,71
2014-05-08,73
2014-05-09,65
2014-05-10,56
2014-05-11,62
2014-05-12,56
2014-05-13,64
2014-05-14,76
2014-05-15,58
2014-05-16,43
2014-05-17,31
2014-05-18,53
2014-05-19,59
2014-05-20,50
2014-05-21,53
2014-05-22,71
2014-05-23,63
2014-05-24,95
2014-05-25,99
2014-05-26,43
2014-05-27,67
2014-05-28,100
2014-05-29,53
2014-05-30,81
2014-05-31,49
2014-06-01,98
2014-06-02,53
2014-06-03,45
2014-06-04,41
2014-06-05,44
2014-06-06,41
2014-06-07,28
2014-06-08,30
2014-06-09,47
2014-06-10,52
2014-06-11,45
2014-06-12,37
2014-06-13,43
2014-06-14,34
2014-06-15,45
2014-06-16,46
2014-06-17,43
2014-06-18,44
2014-06-19,44
2014-06-20,46
2014-06-21,38
2014-06-22,40
2014-06-23,45
2014-06-24,42
2014-06-25,43
2014-06-26,43
2014-06-27,49
2014-06-28,40
2014-06-29,28
2014-06-30,40


Top regions for lpl
Region,lpl
India,100
United States,42


Top cities for lpl
Town/City,lpl
Pune (India),100
Mumbai (India),73
New Delhi (India),54



Top searches for lpl
lpl financial,100
lpl 2014,60
lpl live,45
lpl score,30
lpl live score,25
lpl login,20
lpl lol,15
lpl financial login,15
lpl account view,10



Rising searches for lpl
lpl live score,+90%
lpl live,+80%
lpl score,+70%
lpl financial login,+40%



