Web Search interest: lpl
Worldwide Mar-Apr 2014

Interest over time
Day,lpl
2014-03-01,43
2014-03-02,40
2014-03-03,41
2014-03-04,42
2014-03-05,42
2014-03-06,43
2014-03-07,58
2014-03-08,49
2014-03-09,35
2014-03-10,49
2014-03-11,37
2014-03-12,40
2014-03-13,41
2014-03-14,50
2014-03-15,47
2014-03-16,38
2014-03-17,46
2014-03-18,45
2014-03-19,43
2014-03-20,40
2014-03-21,55
2014-03-22,52
2014-03-23,49
2014-03-24,40
2014-03-25,48
2014-03-26,44
2014-03-27,43
2014-03-28,48
2014-03-29,43
2014-03-30,40
2014-03-31,44
2014-04-01,49
2014-04-02,46
2014-04-03,48
2014-04-04,58
2014-04-05,42
2014-04-06,50
2014-04-07,48
2014-04-08,48
2014-04-09,55
2014-04-10,49
2014-04-11,59
2014-04-12,51
2014-04-13,42
2014-04-14,47
2014-04-15,53
2014-04-16,85
2014-04-17,75
2014-04-18,100
2014-04-19,85
2014-04-20,71
2014-04-21,62
2014-04-22,71
2014-04-23,74
2014-04-24,62
2014-04-25,89
2014-04-26,81
2014-04-27,57
2014-04-28,55
2014-04-29,56
2014-04-30,59


Top regions for lpl
Region,lpl
China,100
India,18
United States,11


Top cities for lpl
Town/City,lpl
Mumbai (India),100
Pune (India),64



Top searches for lpl
lpl financial,100
lpl 2014,45
lpl live,20
lpl lol,20
lpl login,15
lpl score,15
lpl account view,15
lpl live score,10



Rising searches for lpl
lpl live,Breakout
lpl live score,Breakout
lpl score,Breakout
lpl 2014,+150%
lpl lol,+60%



