Web Search interest: lpl
Worldwide Mar-Apr 2013

Interest over time
Day,lpl
2013-03-01,55
2013-03-02,45
2013-03-03,32
2013-03-04,58
2013-03-05,57
2013-03-06,56
2013-03-07,60
2013-03-08,51
2013-03-09,38
2013-03-10,37
2013-03-11,49
2013-03-12,55
2013-03-13,48
2013-03-14,45
2013-03-15,37
2013-03-16,41
2013-03-17,37
2013-03-18,47
2013-03-19,41
2013-03-20,47
2013-03-21,57
2013-03-22,79
2013-03-23,44
2013-03-24,47
2013-03-25,56
2013-03-26,55
2013-03-27,53
2013-03-28,51
2013-03-29,49
2013-03-30,42
2013-03-31,42
2013-04-01,64
2013-04-02,70
2013-04-03,90
2013-04-04,100
2013-04-05,89
2013-04-06,93
2013-04-07,75
2013-04-08,78
2013-04-09,89
2013-04-10,85
2013-04-11,75
2013-04-12,73
2013-04-13,82
2013-04-14,63
2013-04-15,68
2013-04-16,82
2013-04-17,86
2013-04-18,61
2013-04-19,73
2013-04-20,88
2013-04-21,71
2013-04-22,67
2013-04-23,99
2013-04-24,77
2013-04-25,86
2013-04-26,74
2013-04-27,71
2013-04-28,83
2013-04-29,94
2013-04-30,63


Top regions for lpl
Region,lpl
India,100
United States,41





Top searches for lpl
lpl financial,100
lpl 2013,35
lpl live,35
lpl score,15
lpl login,15
lpl live score,15
lpl financial login,10



Rising searches for lpl
lpl live,Breakout
lpl live score,Breakout
lpl score,Breakout
lpl 2013,+550%



