Web Search interest: vici gaming
Worldwide Nov-Dec 2014

Interest over time
Week,vici gaming
2014-11-02 - 2014-11-08,30
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,33
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,100
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,38
2014-12-28 - 2015-01-03,54









