Web Search interest: vici gaming
Worldwide Mar-Apr 2015

Interest over time
Week,vici gaming
2015-03-01 - 2015-03-07,37
2015-03-08 - 2015-03-14,81
2015-03-15 - 2015-03-21,100
2015-03-22 - 2015-03-28,73
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,65
2015-04-12 - 2015-04-18,66
2015-04-19 - 2015-04-25,54
2015-04-26 - 2015-05-02,89









