Web Search interest: vici gaming
Worldwide Jul-Aug 2015

Interest over time
Week,vici gaming
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,100
2015-08-09 - 2015-08-15,21
2015-08-16 - 2015-08-22,10
2015-08-23 - 2015-08-29,14
2015-08-30 - 2015-09-05,15









