Web Search interest: minecraft smite
Worldwide Mar-Apr 2015

Interest over time
Week,minecraft smite
2015-03-01 - 2015-03-07,70
2015-03-08 - 2015-03-14,67
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,83
2015-03-29 - 2015-04-04,100
2015-04-05 - 2015-04-11,91
2015-04-12 - 2015-04-18,78
2015-04-19 - 2015-04-25,65
2015-04-26 - 2015-05-02,65









