Web Search interest: minecraft smite
Worldwide Nov-Dec 2015

Interest over time
Week,minecraft smite
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,54
2015-11-15 - 2015-11-21,48
2015-11-22 - 2015-11-28,71
2015-11-29 - 2015-12-05,61
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,67
2015-12-20 - 2015-12-26,100









