Web Search interest: minecraft smite
Worldwide May-Jun 2015

Interest over time
Week,minecraft smite
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,88
2015-05-17 - 2015-05-23,70
2015-05-24 - 2015-05-30,68
2015-05-31 - 2015-06-06,74
2015-06-07 - 2015-06-13,80
2015-06-14 - 2015-06-20,83
2015-06-21 - 2015-06-27,100
2015-06-28 - 2015-07-04,94









