Web Search interest: minecraft smite
Worldwide Jan-Feb 2015

Interest over time
Week,minecraft smite
2015-01-04 - 2015-01-10,96
2015-01-11 - 2015-01-17,93
2015-01-18 - 2015-01-24,90
2015-01-25 - 2015-01-31,89
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,96
2015-02-15 - 2015-02-21,100
2015-02-22 - 2015-02-28,72









