Web Search interest: minecraft smite
Worldwide Jan-Feb 2014

Interest over time
Week,minecraft smite
2014-01-05 - 2014-01-11,100
2014-01-12 - 2014-01-18,91
2014-01-19 - 2014-01-25,80
2014-01-26 - 2014-02-01,94
2014-02-02 - 2014-02-08,79
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,67









