Web Search interest: blizzard heroes
Worldwide May-Jun 2015

Interest over time
Day,blizzard heroes
2015-05-01,48
2015-05-02,38
2015-05-03,38
2015-05-04,38
2015-05-05,38
2015-05-06,38
2015-05-07,46
2015-05-08,53
2015-05-09,61
2015-05-10,41
2015-05-11,41
2015-05-12,41
2015-05-13,41
2015-05-14,39
2015-05-15,66
2015-05-16,46
2015-05-17,46
2015-05-18,52
2015-05-19,51
2015-05-20,70
2015-05-21,45
2015-05-22,58
2015-05-23,55
2015-05-24,55
2015-05-25,52
2015-05-26,49
2015-05-27,51
2015-05-28,66
2015-05-29,45
2015-05-30,45
2015-05-31,46
2015-06-01,65
2015-06-02,91
2015-06-03,75
2015-06-04,80
2015-06-05,52
2015-06-06,100
2015-06-07,57
2015-06-08,62
2015-06-09,54
2015-06-10,60
2015-06-11,54
2015-06-12,63
2015-06-13,59
2015-06-14,46
2015-06-15,46
2015-06-16,47
2015-06-17,62
2015-06-18,42
2015-06-19,57
2015-06-20,46
2015-06-21,46
2015-06-22,49
2015-06-23,53
2015-06-24,42
2015-06-25,51
2015-06-26,47
2015-06-27,47
2015-06-28,41
2015-06-29,41
2015-06-30,0









