Web Search interest: blizzard heroes
Worldwide Jul-Aug 2014

Interest over time
Week,blizzard heroes
2014-07-06 - 2014-07-12,77
2014-07-13 - 2014-07-19,96
2014-07-20 - 2014-07-26,98
2014-07-27 - 2014-08-02,77
2014-08-03 - 2014-08-09,71
2014-08-10 - 2014-08-16,84
2014-08-17 - 2014-08-23,87
2014-08-24 - 2014-08-30,100
2014-08-31 - 2014-09-06,69









