Web Search interest: blizzard heroes
Worldwide May-Jun 2014

Interest over time
Week,blizzard heroes
2014-05-04 - 2014-05-10,62
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,66
2014-05-25 - 2014-05-31,68
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,55
2014-06-22 - 2014-06-28,69
2014-06-29 - 2014-07-05,100









