Web Search interest: blizzard heroes
Worldwide Mar-Apr 2015

Interest over time
Day,blizzard heroes
2015-03-01,100
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,55
2015-03-08,63
2015-03-09,53
2015-03-10,55
2015-03-11,57
2015-03-12,59
2015-03-13,60
2015-03-14,62
2015-03-15,65
2015-03-16,67
2015-03-17,70
2015-03-18,51
2015-03-19,51
2015-03-20,51
2015-03-21,60
2015-03-22,65
2015-03-23,59
2015-03-24,59
2015-03-25,53
2015-03-26,53
2015-03-27,68
2015-03-28,82
2015-03-29,70
2015-03-30,70
2015-03-31,52
2015-04-01,67
2015-04-02,64
2015-04-03,53
2015-04-04,63
2015-04-05,63
2015-04-06,63
2015-04-07,62
2015-04-08,62
2015-04-09,55
2015-04-10,70
2015-04-11,72
2015-04-12,72
2015-04-13,51
2015-04-14,53
2015-04-15,54
2015-04-16,56
2015-04-17,57
2015-04-18,59
2015-04-19,58
2015-04-20,67
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,46
2015-04-28,45
2015-04-29,50
2015-04-30,0









