Web Search interest: blizzard heroes
Worldwide Jan-Feb 2015

Interest over time
Day,blizzard heroes
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,98
2015-01-14,84
2015-01-15,61
2015-01-16,63
2015-01-17,64
2015-01-18,66
2015-01-19,67
2015-01-20,69
2015-01-21,100
2015-01-22,69
2015-01-23,72
2015-01-24,92
2015-01-25,78
2015-01-26,84
2015-01-27,100
2015-01-28,78
2015-01-29,74
2015-01-30,74
2015-01-31,65
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,76
2015-02-08,60
2015-02-09,60
2015-02-10,63
2015-02-11,67
2015-02-12,70
2015-02-13,74
2015-02-14,77
2015-02-15,67
2015-02-16,58
2015-02-17,60
2015-02-18,61
2015-02-19,60
2015-02-20,60
2015-02-21,71
2015-02-22,64
2015-02-23,64
2015-02-24,64
2015-02-25,64
2015-02-26,64
2015-02-27,64
2015-02-28,65









