Web Search interest: blizzard heroes
Worldwide Sep-Oct 2015

Interest over time
Week,blizzard heroes
2015-09-06 - 2015-09-12,96
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,100
2015-09-27 - 2015-10-03,95
2015-10-04 - 2015-10-10,100
2015-10-11 - 2015-10-17,81
2015-10-18 - 2015-10-24,74
2015-10-25 - 2015-10-31,87









