Web Search interest: blizzard heroes
Worldwide May-Jun 2014

Interest over time
Week,blizzard heroes
2014-05-04 - 2014-05-10,60
2014-05-11 - 2014-05-17,66
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,54
2014-06-01 - 2014-06-07,63
2014-06-08 - 2014-06-14,59
2014-06-15 - 2014-06-21,59
2014-06-22 - 2014-06-28,62
2014-06-29 - 2014-07-05,100









