Web Search interest: virtus pro
Worldwide Sep-Oct 2015

Interest over time
Day,virtus pro
2015-09-01,31
2015-09-02,32
2015-09-03,23
2015-09-04,22
2015-09-05,25
2015-09-06,33
2015-09-07,30
2015-09-08,32
2015-09-09,22
2015-09-10,38
2015-09-11,47
2015-09-12,100
2015-09-13,39
2015-09-14,26
2015-09-15,21
2015-09-16,18
2015-09-17,21
2015-09-18,17
2015-09-19,27
2015-09-20,29
2015-09-21,28
2015-09-22,15
2015-09-23,19
2015-09-24,37
2015-09-25,30
2015-09-26,61
2015-09-27,28
2015-09-28,16
2015-09-29,29
2015-09-30,29
2015-10-01,24
2015-10-02,30
2015-10-03,44
2015-10-04,51
2015-10-05,18
2015-10-06,23
2015-10-07,18
2015-10-08,20
2015-10-09,21
2015-10-10,34
2015-10-11,33
2015-10-12,25
2015-10-13,16
2015-10-14,19
2015-10-15,40
2015-10-16,41
2015-10-17,45
2015-10-18,54
2015-10-19,36
2015-10-20,31
2015-10-21,33
2015-10-22,27
2015-10-23,21
2015-10-24,34
2015-10-25,31
2015-10-26,29
2015-10-27,29
2015-10-28,56
2015-10-29,59
2015-10-30,39
2015-10-31,84


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,36


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
fnatic,100
virtus pro csgo,85
virtus pro dota,60






