Web Search interest: dota 2 reborn
Worldwide Nov-Dec 2015

Interest over time
Day,dota 2 reborn
2015-11-01,85
2015-11-02,75
2015-11-03,76
2015-11-04,66
2015-11-05,77
2015-11-06,71
2015-11-07,85
2015-11-08,93
2015-11-09,64
2015-11-10,72
2015-11-11,57
2015-11-12,52
2015-11-13,77
2015-11-14,100
2015-11-15,76
2015-11-16,67
2015-11-17,66
2015-11-18,69
2015-11-19,55
2015-11-20,66
2015-11-21,90
2015-11-22,65
2015-11-23,64
2015-11-24,60
2015-11-25,63
2015-11-26,67
2015-11-27,61
2015-11-28,81
2015-11-29,63
2015-11-30,39
2015-12-01,58
2015-12-02,55
2015-12-03,49
2015-12-04,69
2015-12-05,88
2015-12-06,98
2015-12-07,58
2015-12-08,62
2015-12-09,56
2015-12-10,64
2015-12-11,68
2015-12-12,87
2015-12-13,87
2015-12-14,57
2015-12-15,64
2015-12-16,70
2015-12-17,85
2015-12-18,64
2015-12-19,78
2015-12-20,90
2015-12-21,75
2015-12-22,56
2015-12-23,72
2015-12-24,82
2015-12-25, 
2015-12-26, 









