Web Search interest: dotabuff
Worldwide Sep-Oct 2015

Interest over time
Day,dotabuff
2015-09-01,71
2015-09-02,76
2015-09-03,68
2015-09-04,75
2015-09-05,89
2015-09-06,90
2015-09-07,85
2015-09-08,77
2015-09-09,72
2015-09-10,59
2015-09-11,69
2015-09-12,73
2015-09-13,81
2015-09-14,69
2015-09-15,67
2015-09-16,67
2015-09-17,59
2015-09-18,68
2015-09-19,80
2015-09-20,79
2015-09-21,60
2015-09-22,64
2015-09-23,73
2015-09-24,70
2015-09-25,86
2015-09-26,100
2015-09-27,91
2015-09-28,70
2015-09-29,66
2015-09-30,69
2015-10-01,70
2015-10-02,71
2015-10-03,85
2015-10-04,78
2015-10-05,67
2015-10-06,64
2015-10-07,73
2015-10-08,66
2015-10-09,69
2015-10-10,86
2015-10-11,79
2015-10-12,74
2015-10-13,73
2015-10-14,65
2015-10-15,70
2015-10-16,75
2015-10-17,88
2015-10-18,86
2015-10-19,73
2015-10-20,69
2015-10-21,75
2015-10-22,72
2015-10-23,78
2015-10-24,87
2015-10-25,90
2015-10-26,71
2015-10-27,81
2015-10-28,86
2015-10-29,84
2015-10-30,74
2015-10-31,79


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,89
United States,6


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),83
Moscow (Russia),82
Kiev (Ukraine),54
Kuala Lumpur (Malaysia),52
Jakarta (Indonesia),17
Sydney (Australia),17



Top searches for dotabuff
dotabuff arteezy,100
dotabuff dendi,90






