Web Search interest: dotabuff
Worldwide Nov-Dec 2015

Interest over time
Day,dotabuff
2015-11-01,77
2015-11-02,67
2015-11-03,63
2015-11-04,71
2015-11-05,63
2015-11-06,68
2015-11-07,82
2015-11-08,78
2015-11-09,70
2015-11-10,56
2015-11-11,57
2015-11-12,58
2015-11-13,55
2015-11-14,73
2015-11-15,74
2015-11-16,54
2015-11-17,52
2015-11-18,55
2015-11-19,56
2015-11-20,64
2015-11-21,80
2015-11-22,82
2015-11-23,65
2015-11-24,63
2015-11-25,62
2015-11-26,65
2015-11-27,70
2015-11-28,75
2015-11-29,81
2015-11-30,66
2015-12-01,64
2015-12-02,63
2015-12-03,74
2015-12-04,64
2015-12-05,88
2015-12-06,82
2015-12-07,69
2015-12-08,70
2015-12-09,63
2015-12-10,69
2015-12-11,71
2015-12-12,84
2015-12-13,85
2015-12-14,72
2015-12-15,68
2015-12-16,63
2015-12-17,73
2015-12-18,80
2015-12-19,81
2015-12-20,84
2015-12-21,76
2015-12-22,100
2015-12-23, 
2015-12-24, 


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,70
Indonesia,35
United States,5


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),95
Moscow (Russia),83
Kiev (Ukraine),56
Kuala Lumpur (Malaysia),49
Jakarta (Indonesia),19



Top searches for dotabuff
dotabuff miracle,100






