Web Search interest: dotabuff
Worldwide Jan-Feb 2014

Interest over time
Day,dotabuff
2014-01-01,77
2014-01-02,76
2014-01-03,73
2014-01-04,67
2014-01-05,69
2014-01-06,71
2014-01-07,72
2014-01-08,80
2014-01-09,76
2014-01-10,82
2014-01-11,88
2014-01-12,87
2014-01-13,78
2014-01-14,66
2014-01-15,77
2014-01-16,67
2014-01-17,76
2014-01-18,80
2014-01-19,74
2014-01-20,73
2014-01-21,71
2014-01-22,86
2014-01-23,66
2014-01-24,87
2014-01-25,98
2014-01-26,100
2014-01-27,72
2014-01-28,71
2014-01-29,62
2014-01-30,85
2014-01-31,82
2014-02-01,78
2014-02-02,81
2014-02-03,61
2014-02-04,66
2014-02-05,71
2014-02-06,33
2014-02-07,65
2014-02-08,63
2014-02-09,73
2014-02-10,69
2014-02-11,56
2014-02-12,59
2014-02-13,64
2014-02-14,61
2014-02-15,71
2014-02-16,67
2014-02-17,64
2014-02-18,57
2014-02-19,63
2014-02-20,54
2014-02-21,65
2014-02-22,83
2014-02-23,77
2014-02-24,76
2014-02-25,68
2014-02-26,72
2014-02-27,68
2014-02-28,68


Top regions for dotabuff
Region,dotabuff
Russia,100
United States,6


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),91
Moscow (Russia),65



Top searches for dotabuff
dotabuff dendi,100



Rising searches for dotabuff
dotabuff dendi,+60%



