Web Search interest: dotabuff
Worldwide Jul-Aug 2015

Interest over time
Day,dotabuff
2015-07-01,62
2015-07-02,64
2015-07-03,60
2015-07-04,68
2015-07-05,77
2015-07-06,65
2015-07-07,61
2015-07-08,65
2015-07-09,59
2015-07-10,64
2015-07-11,68
2015-07-12,72
2015-07-13,63
2015-07-14,60
2015-07-15,61
2015-07-16,62
2015-07-17,64
2015-07-18,81
2015-07-19,77
2015-07-20,67
2015-07-21,64
2015-07-22,62
2015-07-23,62
2015-07-24,59
2015-07-25,66
2015-07-26,79
2015-07-27,60
2015-07-28,59
2015-07-29,61
2015-07-30,66
2015-07-31,68
2015-08-01,76
2015-08-02,74
2015-08-03,64
2015-08-04,67
2015-08-05,67
2015-08-06,69
2015-08-07,77
2015-08-08,79
2015-08-09,100
2015-08-10,79
2015-08-11,72
2015-08-12,72
2015-08-13,71
2015-08-14,76
2015-08-15,87
2015-08-16,86
2015-08-17,77
2015-08-18,75
2015-08-19,72
2015-08-20,70
2015-08-21,72
2015-08-22,80
2015-08-23,92
2015-08-24,72
2015-08-25,74
2015-08-26,72
2015-08-27,66
2015-08-28,76
2015-08-29,77
2015-08-30,78
2015-08-31,62


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,80
Malaysia,73
United States,5


Top cities for dotabuff
Town/City,dotabuff
Singapore (Singapore),100
Saint Petersburg (Russia),84
Moscow (Russia),81
Kuala Lumpur (Malaysia),60
Kiev (Ukraine),60
Sydney (Australia),20
Jakarta (Indonesia),19



Top searches for dotabuff
arteezy,100
dotabuff arteezy,95
dotabuff dendi,65
dotabuff miracle,50



Rising searches for dotabuff
sumail,+50%
dotabuff arteezy,+40%



