Web Search interest: dotabuff
Worldwide Mar-Apr 2015

Interest over time
Day,dotabuff
2015-03-01,81
2015-03-02,63
2015-03-03,70
2015-03-04,64
2015-03-05,72
2015-03-06,84
2015-03-07,100
2015-03-08,90
2015-03-09,83
2015-03-10,70
2015-03-11,77
2015-03-12,75
2015-03-13,72
2015-03-14,94
2015-03-15,90
2015-03-16,73
2015-03-17,72
2015-03-18,70
2015-03-19,75
2015-03-20,76
2015-03-21,90
2015-03-22,90
2015-03-23,73
2015-03-24,71
2015-03-25,74
2015-03-26,71
2015-03-27,72
2015-03-28,84
2015-03-29,82
2015-03-30,72
2015-03-31,88
2015-04-01,76
2015-04-02,84
2015-04-03,91
2015-04-04,91
2015-04-05,91
2015-04-06,84
2015-04-07,79
2015-04-08,77
2015-04-09,75
2015-04-10,80
2015-04-11,89
2015-04-12,84
2015-04-13,72
2015-04-14,70
2015-04-15,64
2015-04-16,67
2015-04-17,65
2015-04-18,86
2015-04-19,81
2015-04-20,67
2015-04-21,86
2015-04-22,74
2015-04-23,69
2015-04-24,69
2015-04-25,78
2015-04-26,86
2015-04-27,69
2015-04-28,58
2015-04-29,62
2015-04-30,67


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,79
United States,5


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),86
Moscow (Russia),79
Kiev (Ukraine),49
Kuala Lumpur (Malaysia),42
Sydney (Australia),18
Jakarta (Indonesia),12



Top searches for dotabuff
dendi dotabuff,100
arteezy dotabuff,65






