Web Search interest: dotabuff
Worldwide Jan-Feb 2015

Interest over time
Day,dotabuff
2015-01-01,77
2015-01-02,76
2015-01-03,90
2015-01-04,95
2015-01-05,76
2015-01-06,73
2015-01-07,74
2015-01-08,69
2015-01-09,68
2015-01-10,81
2015-01-11,73
2015-01-12,75
2015-01-13,75
2015-01-14,70
2015-01-15,70
2015-01-16,79
2015-01-17,93
2015-01-18,87
2015-01-19,74
2015-01-20,71
2015-01-21,83
2015-01-22,73
2015-01-23,76
2015-01-24,95
2015-01-25,88
2015-01-26,74
2015-01-27,69
2015-01-28,63
2015-01-29,67
2015-01-30,69
2015-01-31,85
2015-02-01,83
2015-02-02,68
2015-02-03,76
2015-02-04,69
2015-02-05,75
2015-02-06,73
2015-02-07,87
2015-02-08,82
2015-02-09,80
2015-02-10,75
2015-02-11,71
2015-02-12,69
2015-02-13,79
2015-02-14,100
2015-02-15,91
2015-02-16,77
2015-02-17,80
2015-02-18,80
2015-02-19,75
2015-02-20,82
2015-02-21,83
2015-02-22,90
2015-02-23,75
2015-02-24,70
2015-02-25,69
2015-02-26,65
2015-02-27,80
2015-02-28,86


Top regions for dotabuff
Region,dotabuff
Russia,100
Ukraine,70
United States,4


Top cities for dotabuff
Town/City,dotabuff
Saint Petersburg (Russia),100
Singapore (Singapore),88
Moscow (Russia),80
Kiev (Ukraine),51
Kuala Lumpur (Malaysia),33
Sydney (Australia),18
Minsk (Belarus),0



Top searches for dotabuff
dendi dotabuff,100
arteezy dotabuff,60
w33 dotabuff,40






