Web Search interest: hots heroes
Worldwide Sep-Oct 2014

Interest over time
Week,hots heroes
2014-09-07 - 2014-09-13,39
2014-09-14 - 2014-09-20,32
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,32
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,100









