Web Search interest: overwatch gameplay
Worldwide Nov-Dec 2015

Interest over time
Week,overwatch gameplay
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,99
2015-11-15 - 2015-11-21,61
2015-11-22 - 2015-11-28,68
2015-11-29 - 2015-12-05,38
2015-12-06 - 2015-12-12,35
2015-12-13 - 2015-12-19,24
2015-12-20 - 2015-12-26,47









