Web Search interest: overwatch gameplay
Worldwide Nov-Dec 2014

Interest over time
Week,overwatch gameplay
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,100
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,14
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,14









