Web Search interest: smite tier list
Worldwide Jan-Feb 2015

Interest over time
Week,smite tier list
2015-01-04 - 2015-01-10,58
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,78
2015-01-25 - 2015-01-31,57
2015-02-01 - 2015-02-07,52
2015-02-08 - 2015-02-14,64
2015-02-15 - 2015-02-21,100
2015-02-22 - 2015-02-28,80









