Web Search interest: smite tier list
Worldwide Nov-Dec 2015

Interest over time
Week,smite tier list
2015-11-01 - 2015-11-07,81
2015-11-08 - 2015-11-14,56
2015-11-15 - 2015-11-21,65
2015-11-22 - 2015-11-28,68
2015-11-29 - 2015-12-05,61
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,74
2015-12-20 - 2015-12-26,82









