Web Search interest: monkey business
Worldwide May-Jun 2014

Interest over time
Day,monkey business
2014-05-01,69
2014-05-02,65
2014-05-03,78
2014-05-04,63
2014-05-05,72
2014-05-06,78
2014-05-07,61
2014-05-08,57
2014-05-09,71
2014-05-10,55
2014-05-11,61
2014-05-12,71
2014-05-13,56
2014-05-14,82
2014-05-15,57
2014-05-16,71
2014-05-17,83
2014-05-18,68
2014-05-19,58
2014-05-20,94
2014-05-21,60
2014-05-22,79
2014-05-23,59
2014-05-24,77
2014-05-25,94
2014-05-26,71
2014-05-27,70
2014-05-28,64
2014-05-29,60
2014-05-30,73
2014-05-31,100
2014-06-01,70
2014-06-02,48
2014-06-03,68
2014-06-04,74
2014-06-05,66
2014-06-06,57
2014-06-07,92
2014-06-08,89
2014-06-09,49
2014-06-10,68
2014-06-11,67
2014-06-12,56
2014-06-13,61
2014-06-14,66
2014-06-15,68
2014-06-16,57
2014-06-17,57
2014-06-18,63
2014-06-19,64
2014-06-20,63
2014-06-21,48
2014-06-22,48
2014-06-23,48
2014-06-24,48
2014-06-25,62
2014-06-26,79
2014-06-27,99
2014-06-28,65
2014-06-29,82
2014-06-30,60









