Web Search interest: monkey business
Worldwide May-Jun 2015

Interest over time
Day,monkey business
2015-05-01,80
2015-05-02,75
2015-05-03,98
2015-05-04,61
2015-05-05,72
2015-05-06,64
2015-05-07,87
2015-05-08,63
2015-05-09,80
2015-05-10,60
2015-05-11,92
2015-05-12,81
2015-05-13,85
2015-05-14,75
2015-05-15,83
2015-05-16,86
2015-05-17,88
2015-05-18,73
2015-05-19,81
2015-05-20,74
2015-05-21,94
2015-05-22,99
2015-05-23,99
2015-05-24,86
2015-05-25,72
2015-05-26,86
2015-05-27,82
2015-05-28,76
2015-05-29,100
2015-05-30,78
2015-05-31,79
2015-06-01,76
2015-06-02,73
2015-06-03,65
2015-06-04,72
2015-06-05,86
2015-06-06,74
2015-06-07,80
2015-06-08,68
2015-06-09,71
2015-06-10,75
2015-06-11,55
2015-06-12,68
2015-06-13,72
2015-06-14,76
2015-06-15,66
2015-06-16,65
2015-06-17,79
2015-06-18,81
2015-06-19,62
2015-06-20,75
2015-06-21,73
2015-06-22,75
2015-06-23,69
2015-06-24,69
2015-06-25,74
2015-06-26,62
2015-06-27,67
2015-06-28,75
2015-06-29,67
2015-06-30,74









