Web Search interest: monkey business
Worldwide Nov-Dec 2015

Interest over time
Day,monkey business
2015-11-01,98
2015-11-02,74
2015-11-03,90
2015-11-04,78
2015-11-05,72
2015-11-06,79
2015-11-07,72
2015-11-08,68
2015-11-09,63
2015-11-10,71
2015-11-11,66
2015-11-12,100
2015-11-13,77
2015-11-14,61
2015-11-15,61
2015-11-16,65
2015-11-17,62
2015-11-18,64
2015-11-19,61
2015-11-20,65
2015-11-21,75
2015-11-22,55
2015-11-23,53
2015-11-24,53
2015-11-25,72
2015-11-26,53
2015-11-27,71
2015-11-28,73
2015-11-29,50
2015-11-30,59
2015-12-01,54
2015-12-02,55
2015-12-03,58
2015-12-04,53
2015-12-05,77
2015-12-06,68
2015-12-07,50
2015-12-08,66
2015-12-09,55
2015-12-10,58
2015-12-11,66
2015-12-12,58
2015-12-13,51
2015-12-14,54
2015-12-15,51
2015-12-16,64
2015-12-17,49
2015-12-18,53
2015-12-19,52
2015-12-20,66
2015-12-21,47
2015-12-22,77
2015-12-23, 
2015-12-24, 









