Web Search interest: monkey business
Worldwide Jul-Aug 2014

Interest over time
Day,monkey business
2014-07-01,41
2014-07-02,57
2014-07-03,59
2014-07-04,58
2014-07-05,47
2014-07-06,46
2014-07-07,64
2014-07-08,54
2014-07-09,44
2014-07-10,76
2014-07-11,56
2014-07-12,65
2014-07-13,64
2014-07-14,45
2014-07-15,38
2014-07-16,63
2014-07-17,46
2014-07-18,51
2014-07-19,66
2014-07-20,54
2014-07-21,47
2014-07-22,65
2014-07-23,60
2014-07-24,50
2014-07-25,45
2014-07-26,83
2014-07-27,50
2014-07-28,59
2014-07-29,47
2014-07-30,61
2014-07-31,48
2014-08-01,65
2014-08-02,62
2014-08-03,100
2014-08-04,56
2014-08-05,45
2014-08-06,45
2014-08-07,61
2014-08-08,59
2014-08-09,62
2014-08-10,59
2014-08-11,42
2014-08-12,45
2014-08-13,64
2014-08-14,53
2014-08-15,57
2014-08-16,47
2014-08-17,58
2014-08-18,51
2014-08-19,44
2014-08-20,69
2014-08-21,58
2014-08-22,53
2014-08-23,60
2014-08-24,76
2014-08-25,52
2014-08-26,53
2014-08-27,51
2014-08-28,50
2014-08-29,50
2014-08-30,51
2014-08-31,77









